,address,brewery_name,rb_links,type,year_opened,geometry
198,"88 South Colden Street, Newburgh, New York, USA  12550", Newburgh Brewing Company,/brewers/newburgh-brewing-company/13601/,Microbrewery,2011,POINT (-74.00796579999999 41.4973091)
199,"1571 Route 9, Suite 5, Wappingers Falls, New York, USA  12590", North River Hops and Brewing,/brewers/north-river-hops-and-brewing/20914/,Microbrewery,2014,POINT (-73.91145159999999 41.5961447)
200,"73 Hamburg Street, Buffalo, New York, USA  14204", Old First Ward Brewing,/brewers/old-first-ward-brewing/18936/,Brewpub,2014,POINT (-78.85957259999999 42.8658795)
201,"150 Thielman Road, Hudson, New York, USA  12534", Old Klaverack Brewery,/brewers/old-klaverack-brewery/28335/,Microbrewery,2016,POINT (-73.68377 42.222281)
202,"31 Excelsior Ave., Saratoga Springs, New York, USA  12866", Olde Saratoga Brewing (Mendocino Brewing Co.),/brewers/olde-saratoga-brewing-mendocino-brewing-co/3074/,Microbrewery,2002,POINT (-73.7789909 43.0883478)
203,"195 Centre Street, Brooklyn, New York, USA  11231", Other Half Brewing,/brewers/other-half-brewing/18293/,Microbrewery,2013,POINT (-73.9991345 40.6738126)
204,"111 Ohio Ave, Plattsburgh, New York, USA  12903", Oval Craft Brewing,/brewers/oval-craft-brewing/27320/,Microbrewery,2016,POINT (-73.4473965 44.6831915)
205,"76 South Street, Oyster Bay, New York, USA  11771", Oyster Bay Brewing Company,/brewers/oyster-bay-brewing-company/17629/,Microbrewery,2013,POINT (-73.5304076 40.8731491)
206,"391 Washington St, Buffalo, New York, USA  14203", Pan American Grill and Brewery,/brewers/pan-american-grill-and-brewery/15005/,Brewpub,2012,POINT (-78.87289059999999 42.8849055)
207,"154 Rte 9, Schroon Lake, New York, USA  12870", Paradox Brewery,/brewers/paradox-brewery/17495/,Microbrewery,2013,POINT (-73.793385 43.781173)
208,"265/267 Bowery, New York, New York, USA  10002", Paulaner Bräuhaus New York City,/brewers/paulaner-brauhaus-new-york-city/20708/,Brewpub,2014,POINT (-73.992486 40.72345869999999)
209,"72-76 Pearl Street, Buffalo, New York, USA  14202", Pearl Street Grill & Brewery (NY),/brewers/pearl-street-grill-brewery-ny/2056/,Brewpub,2001,POINT (-78.8773423 42.8810911)
210,"55 Hudson Avenue, Peekskill, New York, USA  10566", Peekskill Brewery,/brewers/peekskill-brewery/10216/,Brewpub,2009,POINT (-73.9298929 41.2856837)
211,"682 County Road 1 Suite B, Pine Island, New York, USA  10969", Pine Island Brewing Company,/brewers/pine-island-brewing-company/25943/,Microbrewery,2016,POINT (-74.4660602 41.2972743)
212,"115 Underhill Rd, Poughkeepsie, New York, USA  12603", Plan Bee Farm Brewery,/brewers/plan-bee-farm-brewery/18300/,Microbrewery,2013,POINT (-73.88568099999999 41.718716)
213,"411 Route 3, Plattsburgh, New York, USA  12901", Plattsburgh Brewing Company,/brewers/plattsburgh-brewing-company/22086/,Brewpub,2015,POINT (-73.4887222 44.6967259)
214,"200 Wilson St. Bldg E3, Port Jefferson Station, New York, USA  11776", Po Boy Brewery,/brewers/po-boy-brewery/29944/,Microbrewery,2017,POINT (-73.0568174 40.9335573)
215,"22 Mill Creek Road, Port Jefferson, New York, USA  11777", Port Jeff Brewing Company,/brewers/port-jeff-brewing-company/13196/,Microbrewery,2011,POINT (-73.0692365 40.9459847)
216,"1946 Campus Drive, Hyde Park, New York, USA  12538", Post Road Brew House,/brewers/post-road-brew-house/30542/,Brewpub,2017,POINT (-73.93271829999999 41.7458486)
217,"28 State Street, Auburn, New York, USA  13021", Prison City Brewing,/brewers/prison-city-brewing/22948/,Brewpub/Brewery,2015,POINT (-76.56845 42.9318129)
218,"317 Springtown Road, New Paltz, New York, USA  12561", Pull Brewing Company,/brewers/pull-brewing-company/26234/,Microbrewery,2016,POINT (-74.0877521 41.7898089)
219,"60-73 70th Street, Maspeth, New York, USA  11378-2943", Queens Brewery,/brewers/queens-brewery/18162/,Client Brewer,2013,POINT (-73.88799399999999 40.721302)
220,"3602 County Route 20, Salem, New York, USA  12865", R.S. Taylor & Sons Brewery,/brewers/rs-taylor-sons-brewery/25536/,Brewpub/Brewery,2015,
221,"122 West 27th Street, Suite 1022, New York, New York, USA  10001", Radiant Pig Beer Company,/brewers/radiant-pig-beer-company/16532/,Client Brewer,2013,POINT (-73.9923099 40.7457486)
222,"P.O. Box 1031 - 143 Rt 59 Building 6, Hilburn, New York, USA  10931", Ramapo Valley Brewery,/brewers/ramapo-valley-brewery/2148/,Microbrewery,2000,POINT (-74.1630699 41.1271493)
223,"11 Balsam Street #2, Tupper Lake, New York, USA  12986", Raquette River Brewing,/brewers/raquette-river-brewing/19599/,Microbrewery,2014,POINT (-74.4869223 44.2431038)
224,"90 Congress Street, Troy, New York, USA  12180", Rare Form Brewing Company,/brewers/rare-form-brewing-company/19554/,Microbrewery,2014,POINT (-73.690015 42.728499)
225,"20 Hallwood Rd Unit C, Delmar, New York, USA  12054", Real McCoy Beer Company,/brewers/real-mccoy-beer-company/28052/,Microbrewery,2016,POINT (-73.83180399999999 42.623426)
226,"4504 Bussey Road, Syracuse, New York, USA  13215", Red Hawk Brewing,/brewers/red-hawk-brewing/24954/,Microbrewery,2015,POINT (-76.23299589999999 42.9913775)
227,"1250 Niagara Street, Buffalo, New York, USA  14213", Resurgence Brewing Company,/brewers/resurgence-brewing-company/19752/,Brewpub/Brewery,2014,POINT (-78.89954689999999 42.91833099999999)
228,"1360 West Sweden Road, Brockport, New York, USA  14420", RG Brewery,/brewers/rg-brewery/25441/,Microbrewery,2015,POINT (-77.985 43.150754)
229,"Saratoga Springs, New York, USA  12866", Ringside Beer Company,/brewers/ringside-beer-company/14751/,Client Brewer,2012,POINT (-73.7242486 43.0964412)
230,"4545 Route 32, Catskill, New York, USA  12414", Rip Van Winkle Brewing Company,/brewers/rip-van-winkle-brewing-company/25938/,Brewpub,2016,POINT (-73.98652799999999 42.185396)
231,"56 S. Union Street, Rochester, New York, USA  14618", Roc Brewing Company,/brewers/roc-brewing-company/12579/,Microbrewery,2011,POINT (-77.5975522 43.1533777)
232,"162 Fir Tree Point Road, Rock Stream, New York, USA  14878", Rock Stream Brewery,/brewers/rock-stream-brewery/15460/,Microbrewery,2012,POINT (-76.919089 42.472324)
233,"5-01 46th Ave,, Long Island City, New York, USA  11101", Rockaway Brewing Company,/brewers/rockaway-brewing-company/15554/,Microbrewery,2012,POINT (-73.95493309999999 40.747311)
234,"51 Clubhouse Drive, Rocky Point, New York, USA  11778", Rocky Point Artisan Brewers,/brewers/rocky-point-artisan-brewers/15088/,Microbrewery,2012,POINT (-72.92858199999999 40.953359)
235,"Rochester, New York, USA", Rogers Beer Company,/brewers/rogers-beer-company/12580/,Client Brewer,2011,POINT (-77.61092189999999 43.16103)
236,"3859 Buffalo Road, Rochester, New York, USA  14624", Rohrbach Brewing Company,/brewers/rohrbach-brewing-company/2744/,Brewpub,2002,POINT (-77.7616446 43.1372022)
237,"223 - 301 N. Franklin St., Watkins Glen, New York, USA  14891", Rooster Fish Brewing,/brewers/rooster-fish-brewing/7721/,Brewpub,2006,POINT (-76.8737007 42.3810209)
238,"175 Main Street, Oneonta, New York, USA   13820", Roots Brewing Company,/brewers/roots-brewing-company/21015/,Brewpub,2014,POINT (-75.06254369999999 42.453703)
239,"145 Rockland Rd, PO Box 153, Roscoe, New York, USA  12776", Roscoe Beer Company,/brewers/roscoe-beer-company/17054/,Client Brewer,2013,POINT (-74.913107 41.94621799999999)
240,"Rochester, New York, USA", Roscoes Hop House,/brewers/roscoes-hop-house/11788/,Client Brewer,2010,POINT (-77.61092189999999 43.16103)
241,"5945 RTE 44/55, Kerhonkson, New York, USA  12446", Rough Cut Brewing Company,/brewers/rough-cut-brewing-company/26267/,Brewpub,2016,POINT (-74.2848882 41.7596674)
242,"253 West 35Th Street, 6th fl., New York, New York, USA  10001", Ruckus Brewing Company,/brewers/ruckus-brewing-company/12506/,Client Brewer,2011,POINT (-73.9921387 40.7526607)
243,"1 Battiato Lane, Chester, New York, USA  10918", Rushing Duck Brewing,/brewers/rushing-duck-brewing/15094/,Microbrewery,2012,POINT (-74.26961829999999 41.3622246)
